ident_men;ident_ind;pond_indc;sexe;age;lien_01;typolog;handicap;cs42;cs24;situa;statut;typemploi;temptrav;ddipl;pond_jour;nbkm_tot_velo_modprinc;nbkm_vae_velo_modprinc;nbkm_nonvae_velo_modprinc;nbkm_tot_velo_modannexe;nbkm_vae_velo_modannexe;nbkm_nonvae_velo_modannexe;pond_menc;cs42pr;cs24pr;dipdetpr;dipdetcj;stoc;stocp;quartile_rev;decile_rev;quartile_rev_uc;decile_rev_uc;dep_res;nuts_res;reg_res;tuu2017_res;catcom_aa_res;nb_velos;pond_velo1;kvelocat1;kveloutil_flag1;kveloutil_a1;kveloutil_b1;kveloutil_c1;kveloutil_d1;kvkm1sem1;pond_velo2;kvelocat2;kveloutil_flag2;kveloutil_a2;kveloutil_b2;kveloutil_c2;kveloutil_d2;kvkm1sem2;pond_velo3;kvelocat3;kveloutil_flag3;kveloutil_a3;kveloutil_b3;kveloutil_c3;kveloutil_d3;kvkm1sem3;pond_velo4;kvelocat4;kveloutil_flag4;kveloutil_a4;kveloutil_b4;kveloutil_c4;kveloutil_d4;kvkm1sem4;pond_velo5;kvelocat5;kveloutil_flag5;kveloutil_a5;kveloutil_b5;kveloutil_c5;kveloutil_d5;kvkm1sem5;conduit_moins10km_slt;conduit_moins20km;nb_trip_voit;mdisttot_fin1;voiture_passager1;mdisttot_fin2;voiture_passager2;mdisttot_fin3;voiture_passager3;mdisttot_fin4;voiture_passager4;mdisttot_fin5;voiture_passager5;mdisttot_fin6;voiture_passager6;mdisttot_fin7;voiture_passager7;mdisttot_fin8;voiture_passager8;mdisttot_fin9;voiture_passager9;mdisttot_fin10;voiture_passager10;mdisttot_fin11;voiture_passager11;mdisttot_fin12;voiture_passager12;mdisttot_fin13;voiture_passager13;mdisttot_fin14;voiture_passager14;mdisttot_fin15;voiture_passager15;mdisttot_fin16;voiture_passager16;mdisttot_fin17;voiture_passager17;mdisttot_fin18;voiture_passager18;tot_dist_voit;nbkm_walking_lower;nbkm_walking_upper
1,1E+12;1,1E+14;4723.7412;2;49;0;1;2;55;55;1;3;6;1;1;46915.34004;0;0;0;0;0;0;2361.8706;55;55;13;;2;1;3;7;3;7;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;5474.8569;2;48;1;1;2;37;36;1;3;6;1;3;43480.960735;0;0;0;0;0;0;1824.9523;37;36;32;32;2;1;3;8;3;6;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;6362.3071;1;6;2;1;2;;;;;;;;36748.685195;0;0;0;0;0;0;1590.5768;37;36;17;44;1;1;4;10;4;9;78;FR10;Ile-de-France;8;12;1;1590.5768;4;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0
1,1E+12;1,1E+14;3111.1565;2;69;0;1;2;74;73;5;;;;1;18516.297817;0;0;0;0;0;0;3111.1565;74;73;21;;2;1;2;5;4;8;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2.800000011920929;2.800000011920929
1,1E+12;1,1E+14;4223.9849;2;43;0;1;2;52;51;1;1;6;1;5;25139.385421;0;0;0;0;0;0;1407.995;52;51;51;;4;;2;4;1;2;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1
1,1E+12;1,1E+14;2982.4402;1;66;0;1;2;74;73;5;;;;1;21857.782582;0;0;0;0;0;0;1491.2201;74;73;14;45;2;1;4;10;4;10;78;FR10;Ile-de-France;8;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;4;12;0;12;0;15;1;19.380952381;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.380951;0;0
1,1E+12;1,1E+14;23897.916;1;44;0;1;2;22;22;1;6;;;1;153918.78466;0;0;0;0;0;0;4779.5835;35;32;22;14;4;;4;10;4;9;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5.145000014454126;5.145000014454126
1,1E+12;1,1E+14;8033.8745;2;59;0;1;1;77;76;7;;;;6;49887.768566;0;0;0;0;0;0;4016.9373;53;51;23;;4;;3;7;3;7;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7.5;7.5
1,1E+12;1,1E+14;1583.2761;2;63;0;1;2;75;73;5;;;;3;6792.7652864;0;0;0;0;0;0;1583.2761;75;73;35;;2;1;3;6;4;9;78;FR10;Ile-de-France;8;12;1;1583.2761;2;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;7;3;0;3;0;3;0;4;0;4;0;6;0;7;0;;;;;;;;;;;;;;;;;;;;;;;30;0;0
1,1E+12;1,1E+14;14121.197;2;43;1;1;2;42;41;1;1;6;1;1;106608.90261;12;0;12;12;0;12;2824.2395;38;36;14;15;2;1;4;10;4;9;78;FR10;Ile-de-France;4;20;2;2824.2395;1;1;0;1;0;0;;2824.2395;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;.4;0;1.5;0;1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4000001;0;0
